,title,post_publish_time,code_name,content
116,大宗交易：机构账户买入百利电气566.6万元（02-18）,2022-02-18 18:00:14,600468.sh,2022年2月18日，百利电气发生1笔大宗交易，总成交125.91万股，成交金额566.6万元，成交价4.50元，折价1.53%。
117,百利电气：第二期员工持股计划现正在证券公司办理账户开户业务 尚未买入公司股票,2022-02-10 15:41:15,600468.sh,百利电气(SH600468，收盘价：4.65元)2月10日晚间发布公告称，截至本公告披露日，公司第二期员工持股计划已在中国证券登记结算有限责任公司开立完成“员工持股计划专用证券账户”，现正在证券公司办理账户开户业务，尚未买入公司股票。2021年1至6月份，百利电气的营业收入构成为：制造业占比88.5%，商业占比6.82%，分部间抵消占比-0.46%。
118,（2-9）百利电气连续三日收于年线之上，前次最大涨幅12.96%,2022-02-09 15:25:10,600468.sh,2022年2月9日，百利电气A股开盘4.70元，全日小跌0.43%，股价收报4.68元。自2022年2月7日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，百利电气股价前一次连续三日收于年线之上为2021年9月6日，当日收盘价为4.63元（前复权）。次日百利电气股价有所上涨，并持续12日站于支撑价位4.63元之上，2021年9月14日达到期间最高价，实现最大涨幅12.96%。  回溯近一年股价，百利电气共计实现2次连续三日收于年线之上。值得注意的是，次日股价均实现了不同程度的上涨，其中次日最大涨幅为8.21%。  统计2020年8月10日至2021年8月9日的全市场数据，东方财富Choice数据显示，共有3007只个股连续三日收与年线之上8665次，其中3691次第二日股价上涨，4725次股价下跌，249次股价无变动，全市场次日平均收益率为-0.10%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为0.65%、2.56%、9.07%。
119,百利电气：成都瑞联电气股份有限公司的RST系列和RIT系列接线端子产品可以应用于新能源相关产品,2022-02-07 15:15:00,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：您好！请问贵公司子公司成都瑞联电气股份有限公司是否有新能源，储能相关产品？具体有哪些？另外我还在关心我前一次提问的有否与华为合作问题？百利电气(600468.SH)2月7日在投资者互动平台表示，控股子公司成都瑞联电气股份有限公司的RST系列和RIT系列接线端子产品可以应用于新能源相关产品，包括但不限于风电、光伏及储能等领域。
120,百利电气：控股子公司成都瑞联电气股份有限公司接线端子产品可作为通讯领域产品的元件,2022-02-07 15:11:12,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：请问公司子公司成都瑞联电气股份有限公司是否与华为有产品合作？或者是否是华为供应商？谢谢！百利电气(600468.SH)2月7日在投资者互动平台表示，控股子公司成都瑞联电气股份有限公司接线端子产品可作为通讯领域产品的元件。具体客户因涉及保密协议约定无法回答。
121,百利电气：第一期员工持股计划锁定期到期,2022-01-28 15:55:52,600468.sh,百利电气(SH600468，收盘价：4.46元)1月28日晚间发布公告称，鉴于公司第一期员工持股计划所持公司股票锁定期将于2022年2月2日届满。第一期员工持股计划锁定期届满后，可以在存续期内根据员工持股计划的安排和市场情况等因素决定是否卖出股票。2021年1至6月份，百利电气的主要收入构成为：制造业占比88.5%，商业占比6.82%，分部间抵消占比-0.46%。
124,百利电气：子公司瑞联电气生产的RDK系列电联接产品、辅助开关、转换开关可应用于特高压项目,2022-01-24 13:22:45,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：请问贵公司在特高压的业务上具体有哪些？谢谢！百利电气(600468.SH)1月24日在投资者互动平台表示，公司控股子公司成都瑞联电气股份有限公司生产的RDK系列电联接产品、辅助开关、转换开关可应用于特高压项目。
125,百利电气：公司svg产品中igbt元件主要供应商为富士电机、英飞凌等公司,2022-01-24 12:14:26,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：您好我想问一下辽宁荣信svg产品中igbt元件主要是有哪个公司提供？百利电气(600468.SH)1月24日在投资者互动平台表示，公司svg产品中igbt元件主要供应商为富士电机、英飞凌、ABB、丹尼克斯、中车时代、宏微科技、斯达半导体等公司。
126,年度盘点：百利电气2021年涨17.19%，跑赢大盘,2021-12-31 16:52:22,600468.sh,截至2021年12月31日收盘，百利电气报收于5.13元，较2020年末的4.38元（前复权价）上涨17.19%。2月4日，百利电气盘中最低价报3.65元，股价触及全年最低点，11月18日股价最高见6.14元，最高点相较于年初最大涨幅达到40.27%。2021年度共计6次涨停收盘，无收盘跌停情况。百利电气当前最新总市值57.55亿元，在电网设备板块市值排名55/122，在两市A股市值排名2518/4604。  沪深股通持股方面，截至2021年12月30日收盘，百利电气沪深股通持股市值338.36万元，较期初增加41.13万元；沪深股通持股量占A股比值为0.05%，低于期初的0.06%。  龙虎榜方面，截至2021年12月31日收盘，2021年百利电气共计4次登上龙虎榜。年度上榜数据按成交额倒序如下表：
142,百利电气盘中最高6.14元，股价连续两日创近一年新高,2021-11-18 15:29:14,600468.sh,11月18日，百利电气盘中最高价6.14元，股价连续两日创近一年新高。截至收盘，百利电气最新价为5.8元，下跌1.19%，全日成交金额达到1.99亿元，换手率2.99%。根据最新收盘价进行计算，百利电气总市值为65.07亿元。
145,百利电气：控股子公司苏州贯龙电磁线有限公司入选工信部第二批专精特新“小巨人”企业名单,2021-11-17 15:44:28,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：贵公司是专精特新企业吗百利电气(600468.SH)11月17日在投资者互动平台表示，公司控股子公司苏州贯龙电磁线有限公司入选工信部第二批专精特新“小巨人”企业名单，控股子公司成都瑞联电气股份有限公司入选工信部第三批专精特新“小巨人”企业公示名单。
146,百利电气盘中最高5.99元，股价创近一年新高,2021-11-17 15:29:47,600468.sh,11月17日，百利电气盘中最高价5.99元，股价创近一年新高。截至收盘，百利电气最新价为5.87元，上涨3.89%，全日成交金额达到1.67亿元，换手率2.58%。根据最新收盘价进行计算，百利电气总市值为65.86亿元。 Choice数据显示，百利电气近一年的前次股价高点出现在2021年11月15日，当日最高价为5.91元(前复权)，短期内未能突破前次高点，股价最低于2021年11月16日下探5.58元(前复权)。11月16日至11月17日，百利电气累计涨跌幅为3.89%。 横向与市场指数和所属行业进行比较，2021年11月16日至2021年11月17日区间内，上证指数同期上涨0.44%，申万二级行业高低压设备同期上涨4.05%。个股表现跑赢上证指数，弱于所属申万行业指数。  从全市场来看，11月17日沪深两市共有*ST凯瑞、瀚川智能、道森股份等65只股票价格创近一年新高。其中*ST凯瑞股价已连续六日创下近一年盘中最高价。
149,百利电气盘中最高5.91元，股价创近一年新高,2021-11-15 15:54:35,600468.sh,11月15日，百利电气盘中最高价5.91元，股价创近一年新高。截至收盘，百利电气最新价为5.8元，上涨2.47%，全日成交金额达到1.56亿元，换手率2.44%。根据最新收盘价进行计算，百利电气总市值为65.07亿元。 Choice数据显示，百利电气近一年的前次股价高点出现在2021年11月5日，当日最高价为5.77元(前复权)，后市未能突破前次高点，股价最低于2021年11月8日下探5.28元(前复权)。以最低点为区间起点计算，2021年11月8日至2021年11月15日，百利电气区间上涨5.65%。 横向与市场指数和所属行业进行比较，2021年11月8日至2021年11月15日区间内，上证指数同期上涨0.99%，申万二级行业高低压设备同期上涨2.46%。个股表现跑赢上证指数，强于所属申万行业指数。  从全市场来看，11月15日沪深两市共有赢合科技、圣龙股份、汇得科技等108只股票价格创近一年新高。其中赢合科技股价已连续八日创下近一年盘中最高价。
175,财报快评：百利电气2021年上半年实现归母净利润5614.5万，同比上升38.3%,2021-08-18 17:50:33,600468.sh," 【成长能力】 2021年上半年，公司营业总收入为11.2亿，同比上升18.7%，低于行业平均总营收增速（31.2%）。公司归母净利润为5614.5万，同比上升38.3%，低于行业平均归母净利润增速（484.5%）。二季度，公司单季度归母净利润为2927.6万，同比上升31.8%。 【盈利能力】 2021年上半年，公司毛利率为23.2%，同比下降1.1%，与行业平均数值相差不大（22.7%）。公司净利率为5.8%，同比上升12.6%，低于行业平均（9.9%）。公司期间费用率为16.5%，同比下降1.3%，环比下降1.1%，高于行业平均（13.6%）；其中，管理费用率/销售费用率/财务费用率/研发费用率分别为6.5%/4.9%/0.8%/4.4%。 【偿债能力】 2021年上半年,公司资产负债率为41%，同比下降9.3%，环比下降5.8%，与行业平均数值相差不大（44.5%）。公司流动比率为1.6，同比上升9.3%，环比上升4%，低于行业平均（2.3）。 【营运能力】 2021年上半年,公司应收账款及票据规模为8.9亿，同比下降1.6%，环比下降9%。公司应收账款周转率（含应收票据）为1.3，与行业平均数值相差不大（1.4）。公司存货规模为5.8亿，同比下降9.8%，环比上升3.1%。公司存货周转率为1.5，低于行业平均（2.4）。 【现金流】 2021年上半年,公司经营/投资/筹资活动产生的现金流分别为2372.1万/-1.2亿/-1306.5万，同比变化188.2%/-282.8%/-115.2%。其中，销售商品、提供劳务收到的现金为10.3亿，同比增加30%。销售收现比为92.2%，与行业平均数值相差不大（87.5%）。净现比为29.8%，高于行业平均（-1043.9%）。 【现金流关注点】 [关注]资本支出大幅增加，关注投资收效情况:资本支出同比幅增加。 【其他关注点】 [关注]其他应付款占比过高:其他应付款占比过高，但并未显著超过应付账款占比。 【杜邦分析】 2021年上半年,公司ROE为3.1%，同比上升28.7%，环比上升107.5%；净利率为5.8%，同比上升12.6%，环比下降7.6%；总资产周转率率为0.3，同比上升14.5%，环比上升123.2%；权益乘数为1.7，同比下降7.2%，环比下降4.3%。净利率和权益乘数共同作用带动ROE变化。  截止2021-08-18,公司PE(TTM)为45倍，位于近五年8.5%分位数，高于行业PE(TTM)（34.4）。近五年,公司PE(TTM)在2016-09-08达到最高值，为448.5倍。在2021-07-28触底，为35.2倍。 截止2021-08-18,公司PB(MRQ)为2.9倍，位于近五年53.5%分位数，与行业PB数值相近（2.8）。近五年,公司PB在2016-09-08达到最高值，为4.6倍。在2018-10-16触底，为1.8倍。 "
176,百利电气：盈利增速亮眼，内生增长稳健,2021-08-18 16:57:39,600468.sh,2021年8月19日，公司发布半年报。2021H1实现营收11.2亿元，同比上升18.7%；归母净利润同比大幅上升38.3%至5614.5万元；扣非净利润为5388.5万元，同比上升60%。 盈利增速亮眼，内生增长稳健。公司Q2实现营收6.1亿元，同比上升13.8%，环比上升18.4%；单季度归母净利润为2927.6万元，同比上升31.8%，环比上升9%。报告期内，公司归母净利润大幅上升38.3%至5614.5万元，业绩实现高速增长。此外，剔除非经常性损益等因素的影响，报告期内公司核心利润贡献度为84.7%(上年同期：87.3%)，内生增长较为稳健。 净利率显著提升。报告期内，公司毛利率为23.2%，同比变化不大；净利率为5.8%，同比上升0.65pct；费用方面，21Q2公司销售费用率/管理费用率/财务费用率/研发费用率分别为5.1%/6%/1.1%/4.3%，YOY分别为+0.36pct/-1.24pct/+0.33pct/+0.49pct，环比变动分别为+0.47pct/-1.04pct/+0.61pct/-0.39pct。21H1公司销售费用率/管理费用率/财务费用率/研发费用率分别为4.9%/6.5%/0.8%/4.4%，YOY分别为-0.05pct/-1pct/+0.3pct/+0.53pct；综合来看，公司期间费用率为16.5%（去年同期16.8%），费用投放基本持平。 经营现金流向好。半年度公司经营性现金流净额2372.1万元，同比增长188.2%；21Q2经营性现金流净额7960.8万元，同比增长1013.9%。销售商品、劳务收到的现金10.3亿元/YOY+30%，收现率为92.2%。货币资金方面，期末公司货币资金余额为4.1亿元，同比增加6.1%；应收账款方面，期末公司应收账款余额为8.8亿元，同比下降1.7%，应收账款占流动资产的比重为40.7%；资本结构方面，报告期末公司资产负债率为41%，同比下降4.2pct。
177,读财报系列—— 一文看懂百利电气21年半年度利润表,2021-08-18 16:57:36,600468.sh,财报看似复杂，其实内含一定的基本逻辑，就利润表而言，从收入的产生到净利润的生成，其间包含了费用的调控、营业外收入的作用。往往投资者只关心营收和净利润的变化，而忽视了中间的生产过程。 从利润的产生过程，我们需要重点关注以下几个方面： 1、赚钱没有?（有无利润的产生） 2、从哪里赚钱?（利润的来源、利润变化的原因，利润是来自于经营性利润还是非经常性损益） 3、能否一直赚钱？（利润的可持续性）  2021H1百利电气实现营收11.2亿元，同比上升18.7%；归母净利润为5614.5万元，同比上升38.3%；扣非净利润为5388.5万元，同比上升60%。 营业总收入&归母净利润：营收、净利润均大幅提升，归母增速远超营收 扣非净利润：扣非净利润大幅增加 整体来看，报告期内公司业绩为正，且同比大幅增加，那么需要我们考虑两个问题，一是利润的来源是什么，二是这种利润的增长是否具有可持续性。  报告期内，公司归母净利高速增长。从收入的构成来看，1年以内应收账款占营收比重达67.3%，报告期末公司应收账款占流动资产的比重为40.7%，也就是说，报告期内收入主要是通过赊销方式实现的。结合公司净现比来看，公司净现比为36.7%，净利润含金量较低。  公司19年半年度/20年半年度/21年半年度归母净利润分别为3258.2万元/4060.6万元/5614.5万元，潜在风险较小。 <span></span> 1）股权集中，国有控股
178,读财报系列2——一文看懂百利电气21年半年度资产负债表,2021-08-18 16:57:27,600468.sh,如果把财务报表比作公司的体检报告，那么资产负债表就是它的器官，每一个公式都可以反映资产运转优良情况，投资者可以根据它来判断企业是否健康。企业有多少资源（总资产），就有多少来源（负债、所有者权益），是相等的，即： 资产=负债+所有者权益 想要通过资产负债表了解企业的家底及其构成，我们需要重点关注以下几个方面： 一看结构。企业拥有多少资源？（资金、应收款、存货、对外投资、固定资产、无形资产等）这些资源的来源是什么？（这家公司主要是依托负债还是靠自身造血经营）。 二看变化。结合历史期间，资产负债结构的变化暗示企业经营发生转变。 三看具体的科目。例如预收和应付，预收和应付的变化可以揭示企业产业链话语权的强弱。  货币资金方面，期末公司货币资金余额为4.1亿元，同比增加6.1%；应收账款方面，期末公司应收账款余额为8.8亿元，同比下降1.7%，应收账款占流动资产的比重为40.7%；资本结构方面，报告期末公司资产负债率为41%，同比下降4.2pct。 【资产端】资产结构来看，应收票据及应收账款、存货、固定资产占总资产比重为56%。报告期末，公司流动资产占总资产比重为63.2%，流动资产中，以应收票据及应收账款、存货占比较大。 【负债端】从负债结构来看，其他应付款合计、应付票据及应付账款、短期借款占总负债比重为82%，公司负债以流动负债为主，其中，仅就其他应付款合计占总负债的比重就达45.4%。  【应收账款】从收入的构成来看，1年以内应收账款占营收比重达67.3%，报告期末公司应收账款占流动资产的比重为40.7%，也就是说，报告期内收入主要是通过赊销方式实现的。结合公司净现比来看，公司净现比为36.7%，净利润含金量较低。 【存货】报告期末，公司存货占流动资产比重为26.5%，存货周转率为147.9%，同比上升30.46个百分点，存货周转速度加快。 
179,百利电气股东户数下降3.85%，户均持股18.32万元,2021-08-18 16:53:47,600468.sh,百利电气最新股东户数2.49万户，低于行业平均水平。公司户均持有流通股份4.51万股；户均流通市值18.32万元。
180,百利电气：2021上半年净利润同比增长38.27%,2021-08-18 16:48:06,600468.sh,百利电气（600468）发布中报，2021上半年实现营业总收入11.17亿元，同比增长18.67%；归属母公司股东净利润5614.54万元，同比增长38.27%；基本每股收益为0.0516元。
181,百利电气预计明日收盘后（周三晚）披露半年报,2021-08-16 16:32:38,600468.sh,百利电气（600468）预计明日收盘后（周三晚）披露半年报（报表公告日：2021年8月19日）。
182,（8-13）百利电气连续三日收于年线之上，为近一年首次,2021-08-13 15:37:36,600468.sh,2021年8月13日，百利电气A股开盘4.61元，全日下跌3.40%，股价收报4.55元。自2021年8月11日以来，百利电气收盘价连续三日收于年线（250日均线）之上。  东方财富Choice数据显示，近一年来百利电气股价较为弱势，一年间未曾连续三日高于年线。   统计2020年2月23日至2021年2月22日的全市场数据，东方财富Choice数据显示，共有3136只个股连续三日收与年线之上9926次，其中4657次第二日股价上涨，5009次股价下跌，260次股价无变动，全市场次日平均收益率为0.10%。若将期限拉长，一个月（20日）、三个月（60日）、六个月（120日）平均收益率分别为0.77%、3.82%、6.66%。
183,114股每笔成交量增超50%,2021-08-05 18:52:04,600468.sh,证券时报·数据宝统计，截至8月5日收盘，沪指报收3466.55点，涨跌幅-0.31%；深成指报收14872.23点，涨跌幅-0.79%；创业板指报收3532.50点，涨跌幅-0.86%。从平均每笔成交数据来看，有2129只个股平均每笔成交量环比增加；1965只每笔成交量环比下降。其中百利电气、*ST天成、荣安地产等个股环比增幅较大。
184,年中盘点：百利电气半年跌7.25%，跑输大盘,2021-06-30 17:32:49,600468.sh,统计数据显示，截至2021年6月30日收盘，百利电气报收于4.06元，较2020年末的4.38元（前复权价）下跌7.25%。1月21日，百利电气股价最高见5.09元，最高点相较年初最大涨幅达到16.33%，2月4日盘中最低价报3.65元，股价触及上半年最低点。上半年共计2次涨停收盘，无收盘跌停情况。百利电气当前最新总市值45.55亿元，在输配电气板块市值排名65/136，在两市A股市值排名2599/4445。  沪深股通持股方面，截止2021年6月29日收盘，百利电气沪深股通持股市值269.76万元，较期初减少27.47万元；沪深股通持股量占A股比值为0.05%，低于期初的0.06%。   龙虎榜方面，截止6月30日收盘，2021上半年百利电气共计3次登上龙虎榜，累计上榜原因3条。上半年成交额最高的3次上榜数据如下表：   
185,百利电气2020年度10派0.31元,2021-06-23 19:03:28,600468.sh,百利电气6月24日公布2020年年度分红实施方案：以本公司总股本10.88亿股为基数，向全体股东每10股派发现金红利0.31元(含税，税后0.279元)，合计派发现金红利总额为3371.98万元。
186,百利电气：董事尚志文因工作调动辞职,2021-06-16 22:03:56,600468.sh,【百利电气：董事尚志文因工作调动辞职】6月16日，天津百利特精电气股份有限公司发布公告称，董事会于近日收到董事尚志文先生提交的书面辞职报告。尚志文因工作调动原因申请辞去公司第七届董事会董事职务，并将不再担任公司任何职务。根据有关规定，董事辞职申请自送达董事会之日起生效，尚志文辞职未导致公司董事会成员低于法定最低人数，不会影响董事会的正常运作。（界面新闻）
187,读财报系列—— 一文看懂百利电气21年一季度利润表,2021-04-20 09:42:24,600468.sh,财报看似复杂，其实内含一定的基本逻辑，就利润表而言，从收入的产生到净利润的生成，其间包含了费用的调控、营业外收入的作用。往往投资者只关心营收和净利润的变化，而忽视了中间的生产过程。 从利润的产生过程，我们需要重点关注以下几个方面： 1、赚钱没有?（有无利润的产生） 2、从哪里赚钱?（利润的来源、利润变化的原因，利润是来自于经营性利润还是非经常性损益） 3、能否一直赚钱？（利润的可持续性）  2021年一季度百利电气实现营收5.1亿元，同比上升25.1%；归母净利润为2686.9万元，同比上升46.1%；扣非净利润为2607.5万元，同比上升92.1%。 营业总收入&归母净利润：营收、净利润均大幅提升 扣非净利润：扣非净利润大幅增加 整体来看，报告期内公司业绩为正，且同比大幅增加，那么需要我们考虑两个问题，一是利润的来源是什么，二是这种利润的增长是否具有可持续性。  报告期内，公司归母净利高速增长。从利润构成来看，21年一季度核心利润/利润总额为77.4%，公司核心利润贡献度较高，业绩增长主要靠内生驱动。21年一季度公司毛利率为23.2%，同比上升1个百分点，销售费用率/管理费用率/财务费用率/研发费用率分别为4.6%/7%/0.5%/4.6%，同比变化分别为-0.56个百分点/-0.75个百分点/0.3个百分点/0.56个百分点；综合来看，期间费用率为16.7%（去年同期17.2%），费用投放基本持平。  净利润含金量：尽管本期净利润增长，但我们注意到，公司近几年经营现金流持续为负，19年一季度/20年一季度/21年一季度经营现金流分别为-3798.8万元/-3405.5万元/-5588.7万元，也就是说，公司的利润没有转化为实实在在的现金流，需要关注净利润的含金量。 <span></span>
188,读财报系列—— 一文看懂百利电气20年度利润表,2021-04-20 09:31:36,600468.sh,财报看似复杂，其实内含一定的基本逻辑，就利润表而言，从收入的产生到净利润的生成，其间包含了费用的调控、营业外收入的作用。往往投资者只关心营收和净利润的变化，而忽视了中间的生产过程。 从利润的产生过程，我们需要重点关注以下几个方面： 1、赚钱没有?（有无利润的产生） 2、从哪里赚钱?（利润的来源、利润变化的原因，利润是来自于经营性利润还是非经常性损益） 3、能否一直赚钱？（利润的可持续性）  2020年度百利电气实现营收22亿元，同比上升40.2%；归母净利润为1.1亿元，同比上升95.3%；扣非净利润为9820.8万元，同比上升140.5%。 营业总收入&归母净利润：营收、净利润均大幅提升 扣非净利润：扣非净利润大幅增加 整体来看，报告期内公司业绩为正，且同比大幅增加，那么需要我们考虑两个问题，一是利润的来源是什么，二是这种利润的增长是否具有可持续性。  报告期内，公司营收、归母净利均呈现高速增长。从利润构成来看，20年度核心利润/利润总额为95.4%，公司核心利润贡献度较高，业绩增长主要靠内生驱动。20年度公司毛利率为26.1%，同比上升6.4个百分点，销售费用率/管理费用率/财务费用率/研发费用率分别为5.9%/7.9%/0.7%/4%，同比变化分别为2.13个百分点/0.21个百分点/0.08个百分点/-0.43个百分点；综合来看，期间费用率为18.4%（去年同期16.4%）。  公司18年度/19年度/20年度归母净利润分别为4712.5万元/5631.1万元/1.1亿元，潜在风险较小。 <span></span>
189,【图解季报】百利电气：2021年一季度归母净利润同比增长46.1%，约为2687万元,2021-04-20 00:40:30,600468.sh,21年一季度公司实现营业总收入5.1亿，同比增长25.1%；归母净利润2686.9万，同比增长46.1%。
190,【图解年报】百利电气：2020年归母净利润同比大增95.3%，约为1.1亿元,2021-04-20 00:40:12,600468.sh,百利电气于2021年4月20日披露年报，公司2020年实现营业总收入22亿，同比增长40.2%；实现归母净利润1.1亿，同比增长95.3%；每股收益为0.1元。报告期内，公司毛利率为26.1%，同比提高6.4个百分点，净利率为5.8%，同比提高1.7个百分点。
191,百利电气2020年度拟10派0.31元,2021-04-19 17:59:23,600468.sh,百利电气4月20日公布2020年年度分红预案：向全体股东每10股派发现金红利0.31元(含税)，合计派发现金红利总额为0.0元。
203,百利电气：主力资金净流出620.79万元，净占比-15.39%（01-29）,2021-01-29 15:56:29,600468.sh,百利电气2021年1月29日收报3.95元，涨跌幅-1.99%，换手率0.91%。当日该股主力资金流入337.33万元，流出958.12万元，主力净流出620.79万元。其中，超大单流入0元，流出170.54万元，净流出170.54万元。当日散户资金流入3616.65万元，流出2995.86万元，散户净流入620.79万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名2804/4171，近五日内该股主力资金总体呈流出状态，五日共净流出1674.45万元。
204,百利电气：第一期员工持股计划已完成证券账户的开立工作,2021-01-28 16:24:26,600468.sh,百利电气(SH600468，收盘价：4.03元)1月28日晚间发布公告称，截至本公告日，公司第一期员工持股计划已完成证券账户的开立工作，目前正在办理认购缴款事项，尚未开始购买公司股票。2019年年报显示，百利电气的主营业务为制造业、贸易业，占营收比例分别为：82.33%、15.63%。百利电气的董事...
205,百利电气：主力资金连续3天净流入累计333.12万元（01-28）,2021-01-28 15:51:17,600468.sh,百利电气2021年1月28日收报4.03元，涨跌幅0.50%，换手率1.06%。当日该股主力资金流入854.24万元，流出771.21万元，主力净流入83.04万元。其中，超大单流入0元，流出21.34万元，净流出21.34万元。当日散户资金流入3930.07万元，流出4013.1万元，散户净流出83.04万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名820/4170，近五日内该股主力资金总体呈流出状态，五日共净流出1419.74万元。
206,百利电气：主力资金净流入90.74万元，净占比2.57%（01-27）,2021-01-27 15:48:09,600468.sh,百利电气2021年1月27日收报4.01元，涨跌幅-0.50%，换手率0.79%。当日该股主力资金流入448.95万元，流出358.21万元，主力净流入90.74万元。当日散户资金流入2961.56万元，流出3052.29万元，散户净流出90.74万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名1037/4167，近五日内该股主力资金总体呈流出状态，五日共净流出4071.56万元。
207,百利电气：主力资金净流入159.34万元，净占比2.58%（01-26）,2021-01-26 15:48:45,600468.sh,百利电气2021年1月26日收报4.03元，涨跌幅1.51%，换手率1.37%。当日该股主力资金流入645.2万元，流出485.85万元，主力净流入159.34万元。其中，超大单流入8180元，流出0元，净流入8180元。当日散户资金流入5352.25万元，流出5511.59万元，散户净流出159.34万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名664/4164，近五日内该股主力资金总体呈流出状态，五日共净流出2644.77万元。
208,百利电气：主力资金连续3天净流出累计4321.64万元（01-25）,2021-01-25 16:14:17,600468.sh,百利电气2021年1月25日收报3.97元，涨跌幅-6.59%，换手率2.06%。当日该股主力资金流入1113.39万元，流出2500.16万元，主力净流出1386.77万元。其中，超大单流入24.44万元，流出811.35万元，净流出786.91万元。当日散户资金流入8011.18万元，流出6624.41万元，散户净流入1386.77万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名3328/4163，近五日内该股主力资金总体呈流出状态，五日共净流出696.89万元。
209,资金流向周汇总：百利电气本周主力资金净流入757.66万元,2021-01-24 16:33:33,600468.sh,百利电气本周(2021/01/18-2021/01/22)累计涨幅达11.55%，截至1月22日最新股价报收4.25元。本周主力资金流入1.39亿元，流出1.32亿元，主力净流入757.66万元。其中，超大单流入4128.5万元，流出2423.29万元，净流入1705.21万元。本周散户资金流入4.35亿元，流出4.43亿元，散户净流出757.66万元。本周详细资金流向数据如下表： 百利电气周度主力资金净流入值在所属东财二级行业板块（输配电气）中排名14/125，两市排名561/4162。
210,百利电气今日热门盘点,2021-01-22 21:10:19,600468.sh,百利电气今日股吧人气排名两市第722/4293。       
211,百利电气：主力资金净流出366.08万元，净占比-2.26%（01-22）,2021-01-22 15:48:37,600468.sh,百利电气2021年1月22日收报4.25元，涨跌幅-7.41%，换手率3.41%。当日该股主力资金流入2412.07万元，流出2778.15万元，主力净流出366.08万元。其中，超大单流入367.65万元，流出797.83万元，净流出430.18万元。当日散户资金流入1.29亿元，流出1.25亿元，散户净流入366.08万元。资金流向分布情况如下图： 百利电气近五日主力资金、超大单资金流向情况如下表： 百利电气今日主力资金流向两市排名2295/4162，近五日内该股主力资金总体呈流入状态，五日共净流入757.66万元。
